artist_id,artist_name,followers,genres,popularity
3JXpwnHbLvXxY99EuXqFPX,Poo Bear,47897,['pop r&b'],54
7n2Ycct7Beij7Dj7meI4X0,TWICE,19130425,"['k-pop', 'k-pop girl group', 'pop']",79
3CjlHNtplJyTf9npxaPl5w,CHVRCHES,1382648,"['indietronica', 'metropopolis', 'neo-synthpop', 'shimmer pop']",62
2KU7pJgPoJC3uwJRZPYQ8G,BATE,1675,['malaysian indie'],18
25tMQOrIU4LlUo6Sv8v5SE,Gavin James,721615,['irish pop'],58
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,21704039,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",86
5iNrZmtVMtYev5M9yoWpEq,Seeb,358655,['pop dance'],66
63gbXCha1jpkrJJ9K5gGpR,ELI,30555,['german pop'],40
3zDRCqOhJXJfS2YWOEwGMC,Christopher,379909,['danish pop'],62
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,29970668,"['hip pop', 'pop', 'queens hip hop', 'rap']",86
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,87733755,"['art pop', 'pop']",88
1frSJ3BwjRHE9jgMRQV5wC,Zookeepers,8494,['bass trap'],42
7aD2Ni3fUu66gklUFlvJi5,Kyle Juliano,240496,['opm'],41
2ZuweXv0TkfsidZOLZZoM2,HEDEGAARD,79645,"['danish electronic', 'scandipop']",54
4ScCswdRlyA23odg9thgIO,Jess Glynne,3049749,"['dance pop', 'pop', 'uk pop']",71
39rKElzF7q6K4O2flycSEc,Chlara,49325,['channel pop'],43
2gBjLmx6zQnFGQJCAQpRgw,Nelly,2552955,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",74
5vBSrE1xujD2FXYRarbAXc,Years & Years,1982579,"['dance pop', 'gauze pop', 'pop', 'pop dance', 'uk pop']",66
2DaxqgrOhkeH0fpeiQq2f4,Oasis,9290036,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",75
2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,4305458,"['dance pop', 'pop']",78
3mIj9lX2MWuHmhNCA7LSCW,The 1975,6955744,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock']",76
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,31028750,"['chicago rap', 'melodic rap', 'rap']",86
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,21693437,"['chicago rap', 'hip hop', 'rap']",90
5cYJYBMg1n71v7cvthr1SO,The Itchyworms,1411839,['opm'],57
5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,4618012,"['alt z', 'pop', 'pov: indie']",74
7uMh23xWiuR7zsNkuNcm2G,MNEK,281451,"['house', 'pop dance', 'uk contemporary r&b', 'uk dance', 'uk pop']",68
1ySGjTzzgiL3khDY9awOGU,Andrea Babierra,1825,['opm'],17
1AhjOkOLkbHUfcHDSErXQs,88rising,924982,['asian american hip hop'],65
5LHRHt1k9lMyONurDHEdrp,Tyga,6957850,"['hip hop', 'pop rap', 'rap', 'trap']",79
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,34145373,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",85
20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,12051536,"['modern rock', 'pop']",76
4fpTMHe34LC5t3h5ztK8qu,The Carters,1616414,['r&b'],53
7HkdQ0gt53LP4zmHsL0nap,Ella Mai,5242208,"['r&b', 'rap', 'uk contemporary r&b']",69
3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,2218154,"['alt z', 'electropop', 'pop']",70
7CQwac16i1W5ej8YpuL3dv,Boyce Avenue,3197739,"['acoustic cover', 'neo mellow', 'viral pop']",67
40JlNF1w2OiSOyj1nC4y0I,Joseph Vincent,367738,['viral pop'],58
1uuV1avDy9Eup5gYHXVG05,Amber Leigh Irish,29021,['acoustic cover'],49
7HXBbxW6YwU8lvgBew2p2A,Matt Johnson,40617,['acoustic cover'],52
5JMLG56F1X5mFmWNmS0iAp,Chelsea Cutler,695183,['alt z'],67
6t1gpxYbY8OlLA7D2RiikQ,Loud Luxury,653044,"['edm', 'pop dance']",69
30mZI7Hw2MhoarTVYxfyZM,Unique Salonga,431966,"['opm', 'pinoy city pop', 'pinoy indie']",55
5CiGnKThu5ctn9pBxv7DGa,benny blanco,1074728,['pop'],70
5qRSs6mvI17zrkJpOHkCoM,iKON,3544950,"['k-pop', 'k-pop boy group']",60
1klFdLh3pak3eOtJP0styY,Triple H,498279,['k-pop'],35
4RUeoFWpDZ3IxGR7LYPoYN,Angelina Cruz,50262,['acoustic opm'],25
7tKpXx21KVUOR6vvDs6xtg,I Belong to the Zoo,2549229,['opm'],55
7gZfnEnfiaHzxARJ2LeXrf,6ix9ine,7004265,['emo rap'],70
3v6Ji4uoWtKRkhuDUaxi9n,Dynoro,262379,['edm'],65
7h4j9YTJJuAHzLCc3KCvYu,Kina Grannis,517616,"['acoustic pop', 'viral pop']",60
3QSQFmccmX81fWCUSPTS7y,Dean Lewis,2775729,"['australian pop', 'pop']",75
5Y8eJDj37KhaEeqbVO7Ag1,PRETTYMUCH,1301718,"['boy band', 'post-teen pop', 'teen pop']",56
6MXu7TWZnmykwkXiRJeUMh,Imago,955980,"['opm', 'pinoy rock']",48
3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,89468,['opm'],36
0Vw76uk7P8yVtTClWyOhac,HONNE,1538813,['uk pop'],62
5xuNBZoM7z1Vv8IQ6uM0p6,JoJo,2372331,"['dance pop', 'pop', 'post-teen pop']",60
4LcUpNlXFEleaLlelmkv2R,Kris Kross Amsterdam,217499,"['dutch house', 'dutch pop']",63
6auWB5YAlcKaHyrbTH66nd,No Rome,198696,['indietronica'],50
65XA3lk0aG9XejO8y37jjD,the bird and the bee,177780,['la indie'],45
1foL9hLC9M6U94dINtOYfb,Girls' Generation-Oh!GG,206558,"['k-pop', 'k-pop girl group']",39
2X97ZAqRKRMYFIDqtvGgGc,Silk City,79661,"['edm', 'uk dance']",53
4AVFqumd2ogHFlRbKIjp1t,Alesso,3991392,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",74
2NdeV5rLm47xAvogXrYhJX,Ciara,6378988,"['dance pop', 'hip pop', 'pop', 'r&b', 'urban contemporary']",70
30DIeQNV9s1HEXyuCpGF4l,Khel Pangilinan,792722,['opm'],49
3MZsBdqDrRTJihTHQrO6Dq,Joji,9001110,['viral pop'],80
13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,5080543,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",76
0n4a5imdLBN24fIrBWoqrv,Because,658230,"['opm', 'pinoy hip hop', 'pinoy r&b', 'pinoy trap', 'tagalog rap']",60
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,10426973,"['canadian pop', 'candy pop', 'dance pop', 'pop']",75
2kCcBybjl3SAtIcwdWpUe3,Lil Peep,10811721,"['cloud rap', 'emo rap', 'lgbtq+ hip hop']",81
0a4r2EnsevvHCukoJ1xFwJ,juan karlos,1349791,['opm'],67
55Aa2cqylxrFIXC767Z865,Lil Wayne,14230921,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",85
5HIZU0JzM0AgfItVOm4E08,This Band,1893473,"['opm', 'p-pop']",52
5zctI4wO9XSKS8XwcnqEHk,Lil Mosey,5257339,"['melodic rap', 'rap conscient']",68
2TwRMSibtKhC7ZGypSl1el,Drei Raña,44595,['acoustic opm'],26
6sEgMZsruguWlnwVdiz4IX,Midnight Meetings,17387,['pinoy indie'],18
3bsQY9pFWVzUMxlSgGQuBn,Patch Quiwa,479469,['opm'],46
4q3ewBCX7sLwd24euuV69X,Bad Bunny,75759341,"['reggaeton', 'trap latino', 'urbano latino']",96
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,9837050,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",80
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,6096842,['pop'],78
5Z1CCuBsyhEHngq3U5IraY,Westlife,3927854,['boy band'],68
2auC28zjQyVTsiZKNgPRGs,RM,15196193,['k-rap'],71
2cWZOOzeOm4WmBJRnD5R7I,Normani,2525359,"['pop', 'r&b']",67
1dfeR4HaWDbWqFHLkxsg1d,Queen,48764780,"['classic rock', 'glam rock', 'rock']",83
5r1tUTxVSgvBHnoDuDODPH,IZ*ONE,1987873,"['k-pop', 'k-pop girl group']",60
5CY0QKsbUBpQJIE2yycsYi,Lil Eddie,46479,[],45
4gOc8TsQed9eqnqJct2c5v,K/DA,2147064,['k-pop girl group'],63
3HqSLMAZ3g3d5poNaI7GOU,IU,8242478,"['k-pop', 'pop']",71
250b0Wlc5Vk0CoUsaCY84M,JENNIE,4197764,['k-pop'],74
042sjIstxjQz7xhDkEayIE,Lavaado,9950,[],20
