track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
5dQJKDx0x73seZbwSORa1T,Middle Of The Night,7gAppWoH7pcYmphCVTXkzs,The Vamps,5UCJT91sdoBnzWtYLpjcOG,176110,2017-04-28,0,0.604,0.746,11,-4.299,0,0.0529,0.00342,0.0,0.0666,0.406,130.048
2mfUa8bLs2s5N4VaqJZ4lZ,Most Girls,5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,4D6OyZ4Q57vH7gul8PVzTv,204400,2017-04-28,0,0.755,0.57,9,-7.132,1,0.0888,0.0416,0.0,0.0891,0.406,102.991
61WbtB6ujkpNAsAf5LjF4b,Bon appétit,6jJ0s89eD6GaHleKKya26X,Katy Perry,03ntx95u0wotf68NnE3aGw,227821,2017-06-09,0,0.797,0.792,6,-5.758,1,0.0607,0.111,7.88e-05,0.24,0.54,106.038
2Gl0FzuLxflY6nPifJp5Dr,First Time,23fqKkggKUBHNkbKtXEls4,Kygo,6wu7tiTr8zchRG7PWwTOK1,193511,2017-04-28,68,0.633,0.592,0,-7.245,0,0.112,0.197,0.0,0.099,0.679,90.066
1F2HXIJrE2Xn81OzT2zZvW,Unforgettable,6vXTefBL93Dj5IqAWq6OTv,French Montana,1udLKdsDr7GRmJU6Cxyt7j,233832,2017,1,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985
72Q0FQQo32KJloivv5xge2,I'm the One,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,7mRliFLzSnVPzjO0sSy3ar,288876,2017-04-27,1,0.599,0.667,7,-4.267,1,0.0367,0.0533,0.0,0.134,0.817,80.984
0KR2W3St74th8z3LS94Ffh,Scared to Be Lonely,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,75kX486cBBkuaLkZGjBptl,220253,2017-04-21,6,0.568,0.583,1,-6.81,0,0.0636,0.0741,0.0,0.396,0.196,137.865
1mDGDb2fUmUMdqV3tb8VKQ,Now Or Never,26VFTg2z8YR0cCuwLzESi2,Halsey,2wSBV9N0cNgaDc5X3ljnVo,214801,2017-04-04,0,0.67,0.585,6,-4.861,0,0.0354,0.107,1.11e-06,0.131,0.447,110.03
6gpcs5eMhJwax4mIfKDYQk,Slide (feat. Frank Ocean & Migos),7CajNmpbOovFoOoasH2HaY,Calvin Harris,1UIlzhqJLiA3f6OVw7QKn6,230813,2017-02-24,73,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066
6OuV4vfyb8v3vGGGksqyKf,Weak,6s22t5Y3prQHyaHWUN1R1C,AJR,64ph8p01P5H46Cs149uNyc,202193,2017-01-20,0,0.672,0.642,5,-4.552,1,0.0461,0.127,0.0,0.137,0.656,123.984
6H2TKJ9KJfcq6MRmw2cF20,Bad Things - With Camila Cabello,6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,2OD4hgimOzo9TACvb64y5H,239280,2016-10-14,0,0.689,0.692,2,-4.756,1,0.133,0.229,0.0,0.184,0.285,137.832
5ELRkzdzz0HvGpMDlfZHkV,Sign of the Times,6KImCVD70vtIoJWnq6nGn3,Harry Styles,6YDkzHVTEzMXZOVd1r5NqR,340706,2017-04-07,1,0.518,0.575,5,-4.616,1,0.0302,0.0259,0.0,0.109,0.209,120.019
3ZD3kjn80pQ9keYO8eqp9d,The Other,5JZ7CnR6gTvEMKX4g70Amv,Lauv,5jDywdhHpj1DPdZZ8zX1dj,189333,2015-03-31,0,0.38,0.553,7,-6.621,1,0.0653,0.421,2.63e-06,0.0788,0.384,179.629
39IsH7B5byx8NRlEKlZVg9,Pretty Girl - Cheat Codes X CADE Remix,0uGk2czvcpWQA383Im6ajf,Maggie Lindemann,6jO7hs4GsF6924w10xQTyA,193613,2017-03-03,59,0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.733,121.03
